,,,,,,Parameter Method,,,,,,,,,,,,,,,,,,,,,Historical Method,,,Monte Carlo,
,,,,,,Estimated using 2 year rolling windows,,,,5-day,,,Estimated using 5 year rolling windows,,,,5-day,,,Estimated using 10 year rolling windows,,,,5-day,,,5-day,,,5-day,
Date,AAPL,AMZN,Portfolio,Return,,Mu,Sigma,Mubar,Sigmabar,99% VaR,97.5% ES,,Mu,Sigma,Mubar,Sigmabar,99% VaR,97.5% ES,,Mu,Sigma,Mubar,Sigmabar,99% VaR,97.5% ES,,99% VaR,97.5% ES,,99% VaR,97.5% ES
12/1/16,109.489998,743.650024,34070.49043,-0.009301625,,0.207495484,0.738457102,0.472192013,-1.845561E-05,2159.447797,2163.927336,,0.372617086,0.545879046,0.001715405,-7.382242E-06,1600.731999,1605.269752,,0.360765358,0.472192013,0.001439021,-3.691121E-06,1391.07091,1395.432333,,927.2070483,894.5115679,,2234.594792,2230.399057
11/30/16,110.519997,750.570007,34388.87983,-0.012953117,,0.18274213,0.737265175,0.47181888,-4.415623E-05,2160.09939,2164.579019,,0.361359353,0.54523384,0.001735716,-1.766249E-05,1600.773641,1605.309338,,0.354338805,0.47181888,0.001449212,-8.831247E-06,1391.085937,1395.445621,,927.2070483,894.5115679,,2226.721691,2209.7546
11/29/16,111.459999,762.52002,34837.22044,-0.003790759,,0.206627306,0.736893068,0.471677162,-5.167758E-05,2155.383928,2159.866391,,0.369836564,0.544994463,0.00172716,-2.067103E-05,1598.680057,1603.216128,,0.357547421,0.471677162,0.001440143,-1.033552E-05,1390.126602,1394.486112,,927.2070483,894.5115679,,2227.665976,2222.798662
11/28/16,111.57,766.77002,34969.53056,-0.011583351,,0.249744614,0.73434946,0.470861791,-7.466042E-05,2141.831364,2146.32246,,0.387446225,0.543585846,0.001864473,-2.986417E-05,1591.736052,1596.271396,,0.366308372,0.470861791,0.001508516,-1.493208E-05,1386.26301,1390.620678,,927.2070483,894.5115679,,2219.112152,2240.695976
11/25/16,111.790001,780.369995,35376.94998,0.00211547,,0.286009139,0.731919203,4.70E-01,-7.046306E-05,2129.631924,2134.13074,,0.399848811,0.542304567,0.001832396,-2.818522E-05,1586.018638,1590.552958,,0.375261553,0.470083021,0.001509617,-1.409261E-05,1382.471227,1386.827172,,927.2070483,894.5115679,,2172.125521,2186.844955
11/23/16,111.230003,780.119995,35302.19022,-0.006067597,,0.247894369,0.729463478,4.69E-01,-8.250194E-05,2128.97026,2133.470106,,0.382353704,0.54097849,0.001793732,-3.300078E-05,1585.163192,1589.69369,,0.366102187,0.469320667,0.001488557,-1.650039E-05,1381.823296,1386.175993,,927.2070483,894.5115679,,2236.998825,2243.019822
11/22/16,111.800003,785.330017,35517.04084,0.004450305,,0.213676298,0.727928768,4.69E-01,-7.367197E-05,2130.181016,2134.680523,,0.36663668,0.540197448,0.00177532,-2.946879E-05,1585.563145,1590.090889,,0.361056292,0.468891876,0.001487253,-1.473439E-05,1381.440781,1385.791655,,927.2070483,894.5115679,,2206.161436,2194.673341
11/21/16,111.730003,780,35359.33036,0.021658359,,0.193847664,0.727901077,0.468854866,-3.069904E-05,2133.202063,2137.699849,,0.360939495,0.540139189,0.001768589,-1.227961E-05,1586.34838,1590.875512,,0.359685715,0.468854866,0.001484827,-6.139807E-06,1381.567663,1385.918298,,927.2070483,894.5115679,,2215.710216,2225.176112
11/18/16,110.059998,760.159973,34601.739,0.003433133,,0.220937291,0.72602022,0.468209992,-2.388727E-05,2123.906245,2128.409724,,0.376090817,0.539022981,0.001796262,-9.554906E-06,1580.63914,1585.165694,,0.367206337,0.468209992,0.0014958,-4.777453E-06,1378.408166,1382.757355,,927.2070483,894.5115679,,2155.23321,2156.797966
11/17/16,109.949997,756.400024,34483.15031,0.007937916,,0.247099736,0.725364186,4.68E-01,-8.137431E-06,2118.048066,2122.555012,,0.388439331,0.53869171,0.001841749,-3.254972E-06,1577.632004,1582.159086,,0.370736751,0.467996686,0.001509058,-1.627486E-06,1377.184445,1381.533244,,927.2070483,894.5115679,,2172.788092,2166.588287
11/16/16,109.989998,746.48999,34210.50948,0.012929562,,0.253448241,0.725445718,4.68E-01,1.751646E-05,2117.275031,2121.782405,,0.389026441,0.538695575,0.001868231,7.006585E-06,1577.544908,1582.072049,,0.370473345,0.467996286,0.001520824,3.503292E-06,1377.228348,1381.577123,,927.2070483,894.5115679,,2186.119861,2200.867729
11/15/16,107.110001,743.23999,33771.02984,0.025375028,,0.300710509,0.720839344,4.67E-01,6.786374E-05,2097.438575,2101.957916,,0.410094316,0.536136614,0.001850502,2.714550E-05,1566.724894,1571.249364,,0.381255133,0.466521478,0.001516532,1.357275E-05,1371.096475,1375.441346,,927.2070483,894.5115679,,2191.598125,2195.69377
11/14/16,105.709999,719.070007,32924.87008,-0.026596644,,0.305926116,0.720309496,4.66E-01,1.509262E-05,2095.188524,2099.709199,,0.423898029,0.535095868,0.001874014,6.037048E-06,1561.444156,1565.967971,,0.388937021,0.465925103,0.001523336,3.018524E-06,1368.04683,1372.390395,,927.2070483,894.5115679,,2227.200851,2209.189365
11/11/16,108.43,739.01001,33812.31028,-0.000500284,,0.307226647,0.7201804,4.65E-01,1.409999E-05,2094.635545,2099.156548,,0.435080058,0.534225593,0.001845947,5.639998E-06,1557.08641,1561.609626,,0.395072666,0.465416128,0.001510853,2.819999E-06,1365.515344,1369.857751,,927.2070483,889.5314502,,2240.084294,2223.751257
11/10/16,107.790001,742.380005,33829.23026,-0.03485448,,0.354080758,0.718054546,4.65E-01,-5.505572E-05,2081.528726,2086.057364,,0.447545643,0.533044189,0.001840185,-2.202229E-05,1551.62231,1556.144444,,0.401792838,0.464725137,0.001518224,-1.101114E-05,1362.353318,1366.694005,,927.2070483,889.5314502,,2194.275891,2176.709347
11/9/16,110.879997,771.880005,35029.11978,-0.01321945,,0.331229122,0.717744027,4.65E-01,-8.128479E-05,2084.277776,2088.804856,,0.439539777,0.532868412,0.001793837,-3.251392E-05,1552.461935,1556.983021,,0.400716824,0.464665553,0.001501145,-1.625696E-05,1362.364335,1366.70473,,927.2070483,889.5314502,,2192.177442,2172.639478
11/8/16,111.059998,787.75,35495.25976,0.004450184,,0.316431484,0.716786562,4.64E-01,-7.245506E-05,2084.010446,2088.537711,,0.431197292,0.532239011,0.001841508,-2.898202E-05,1552.06175,1556.580901,,0.39469593,0.464254549,0.001511565,-1.449101E-05,1362.200165,1366.538668,,927.2070483,889.5314502,,2160.258374,2170.723947
11/7/16,110.410004,784.929993,35337.65029,0.029481832,,0.337677669,0.717346657,4.64E-01,-1.395936E-05,2082.189192,2086.717482,,0.430996789,0.532240126,0.001837114,-5.583744E-06,1552.098543,1556.617679,,0.395883892,0.46426342,0.001511435,-2.791872E-06,1362.02238,1366.361016,,927.2070483,889.5314502,,2198.540008,2182.966816
11/4/16,108.839996,755.049988,34311.03918,-0.01318055,,0.329441218,0.717176179,4.64E-01,-4.011125E-05,2083.021562,2087.549382,,0.426402115,0.532146312,0.001830843,-1.604450E-05,1552.600605,1557.119151,,0.393054625,0.464213137,0.001511114,-8.022249E-06,1362.360947,1366.69917,,927.2070483,889.5314502,,2207.029208,2213.77307
11/3/16,109.830002,767.030029,34766.27105,-0.002953337,,0.387819116,0.714879902,4.63E-01,-4.597104E-05,2067.620945,2072.1576,,0.445928116,0.530716188,0.001847729,-1.838842E-05,1545.238585,1549.756153,,0.401627476,0.463375485,0.001512275,-9.194208E-06,1358.453325,1362.789476,,927.2070483,889.5314502,,2159.823073,2199.014695
11/2/16,111.019995,765.559998,34869.09934,-0.015474016,,0.418535437,0.712261247,4.62E-01,-7.667346E-05,2055.6767,2060.220105,,0.46092818,0.529193054,0.001845124,-3.066938E-05,1538.364207,1542.880166,,0.410885146,0.462494401,0.001519679,-1.533469E-05,1354.30009,1358.634063,,927.2070483,889.5314502,,2135.694243,2163.284688
11/1/16,110.920507,785.409973,35412.86059,-0.010401364,,0.314841325,0.697533833,0.457980189,-9.731108E-05,2032.010814,2036.565064,,0.418600559,0.521314307,0.001817548,-3.892443E-05,1522.915756,1527.411885,,0.388092969,0.457980189,0.001480615,-1.946222E-05,1345.059423,1349.375934,,927.2070483,889.5314502,,2141.927982,2153.213126
10/31/16,112.960039,789.820007,35783.12492,0.010007993,,0.354611817,0.694732547,0.45711056,-7.745395E-05,2018.088674,2022.649938,,0.437592191,0.519801748,0.001814198,-3.098158E-05,1515.384028,1519.878623,,0.396850167,0.45711056,0.00146751,-1.549079E-05,1341.019957,1345.33418,,927.2070483,889.5314502,,2162.197557,2163.480433
10/28/16,113.13912,776.320007,35426.79372,-0.035183087,,0.396071834,0.693777902,0.456738357,-1.472617E-04,2008.91543,2013.481582,,0.447953785,0.519146816,0.001850519,-5.890467E-05,1511.760745,1516.254851,,0.402982266,0.456738357,0.00148528,-2.945233E-05,1338.880847,1343.194288,,927.2070483,889.5314502,,2117.753897,2116.755634
10/27/16,113.89524,818.359985,36695.40362,-0.006845612,,0.398187087,0.693847951,0.456704717,-1.608442E-04,2008.77118,2013.337442,,0.445174858,0.519073001,0.00185363,-6.433769E-05,1512.016991,1516.510689,,0.402013944,0.456704717,0.001483963,-3.216885E-05,1338.949135,1343.262376,,927.2070483,889.5314502,,2140.817302,2140.744547
10/26/16,114.999563,822.590027,36947.46788,-0.01804411,,0.347394263,0.691765055,0.456043067,-1.966460E-04,2011.141221,2015.705304,,0.426812423,0.51792496,0.00181603,-7.865841E-05,1511.816037,1516.305599,,0.393304334,0.456043067,0.001460246,-3.932921E-05,1338.516109,1342.826275,,927.2070483,889.5314502,,2142.200562,2138.084791
10/25/16,117.645979,835.179993,37620.20326,-0.0002459,,0.340681577,0.691858987,0.456067515,-1.971339E-04,2012.461334,2017.024702,,0.42526642,0.517947356,0.001824351,-7.885357E-05,1512.140648,1516.630122,,0.39213483,0.456067515,0.001472831,-3.942679E-05,1338.788395,1343.098548,,927.2070483,889.5314502,,2138.129351,2136.885762
10/24/16,117.049045,838.090027,37629.4552,0.017727613,,0.308791009,0.691405539,0.455946633,-1.619601E-04,2016.277968,2020.838967,,0.412745022,0.517714693,0.001724389,-6.478404E-05,1513.581845,1518.069693,,0.385651084,0.455946633,0.001432523,-3.239202E-05,1339.550034,1343.859206,,927.2070483,889.5314502,,2117.177338,2114.335461
10/21/16,116.004406,818.98999,36968.25285,0.005081671,,0.291640074,0.691324996,0.455961629,-1.518774E-04,2018.774873,2023.334411,,0.403669413,0.517771947,0.001730858,-6.075096E-05,1515.274049,1519.761214,,0.381436756,0.455961629,0.001443678,-3.037548E-05,1340.317898,1344.626762,,927.2070483,889.5314502,,2096.640505,2112.473242
10/20/16,116.462055,810.320007,36780.86885,-0.005790122,,0.284717897,0.691238738,0.455959339,-1.633657E-04,2019.63597,2024.19498,,0.402107947,0.517739671,0.001750061,-6.534630E-05,1515.444363,1519.931319,,0.381362573,0.455959339,0.001457947,-3.267315E-05,1340.323965,1344.632814,,927.2070483,889.5314502,,2070.287068,2081.137207
10/19/16,116.521754,817.690002,36994.45229,-0.001108043,,0.29379487,0.691477017,0.455953347,-1.655642E-04,2018.847877,2023.407437,,0.398713983,0.517738154,0.001747844,-6.622570E-05,1516.011349,1520.497999,,0.380946051,0.455953347,0.001469873,-3.311285E-05,1340.378058,1344.686851,,927.2070483,889.5314502,,2072.512196,2085.213906
10/18/16,116.869965,817.650024,37035.46644,0.003298753,,0.262259096,0.689781952,0.455446243,-1.590191E-04,2019.223234,2023.781845,,0.38108693,0.51690486,0.001644489,-6.360764E-05,1516.589345,1521.072593,,0.37382583,0.455446243,0.001430753,-3.180382E-05,1340.122751,1344.429143,,927.2070483,889.5314502,,2086.342544,2084.591405
10/17/16,116.949558,812.950012,36913.49685,-0.007823088,,0.244247141,0.68955856,0.455429339,-1.745411E-04,2021.466476,2026.023706,,0.375779008,0.516778387,0.001590454,-6.981644E-05,1517.120181,1521.602678,,0.373495488,0.455429339,0.001413125,-3.490822E-05,1340.130218,1344.436522,,927.2070483,889.5314502,,2101.048645,2109.779265
10/14/16,117.029143,822.960022,37203.40692,-0.002649812,,0.273233263,0.688198578,0.455257382,-1.797987E-04,2013.169609,2017.730946,,0.388491634,0.516032962,0.001597396,-7.191947E-05,1512.842557,1517.324531,,0.374837784,0.455257382,0.001409938,-3.595973E-05,1339.39813,1343.703939,,927.2070483,889.5314502,,2084.459133,2107.945057
10/13/16,116.38247,829.280029,37302.11968,-0.00476094,,0.267269114,0.687969447,0.455144752,-1.892450E-04,2013.490073,2018.051117,,0.38505673,0.515878855,0.001579532,-7.569799E-05,1512.978997,1517.460322,,0.371563523,0.455144752,0.001388756,-3.784899E-05,1339.632318,1343.937448,,927.2070483,889.5314502,,2064.09179,2068.33898
10/12/16,116.740624,834.090027,37480.13626,0.005664798,,0.200070568,0.683517418,0.453820256,-1.780053E-04,2012.003304,2016.562883,,0.361819461,0.513494657,0.001584911,-7.120212E-05,1510.054193,1514.528077,,0.361351942,0.453820256,0.001395378,-3.560106E-05,1337.524532,1341.824075,,927.2070483,889.5314502,,2092.029624,2105.015245
10/11/16,115.705943,831,37268.4191,-0.007212899,,0.255613805,0.678559336,0.452302263,-1.923166E-04,1989.655676,1994.225017,,0.381656171,0.510837296,0.001606046,-7.692664E-05,1499.083427,1503.552937,,0.372567121,0.452302263,0.001405602,-3.846332E-05,1331.167445,1335.46249,,927.2070483,889.5314502,,2054.901739,2067.882992
10/10/16,115.45722,841.710022,37538.20424,0.008115315,,0.255212535,0.678550359,0.45227833,-1.762148E-04,1989.694921,1994.264234,,0.371268319,0.511070375,0.001585386,-7.048592E-05,1501.504551,1505.973684,,0.37087965,0.45227833,0.001412121,-3.524296E-05,1331.38784,1335.682655,,927.2070483,889.5314502,,2073.150203,2083.810368
10/7/16,113.477379,839.429993,37234.80266,-0.001126663,,0.228360264,0.677720601,0.452047606,-1.784502E-04,1991.694985,1996.262613,,0.350589169,0.511279327,0.001500787,-7.138009E-05,1505.590416,1510.058202,,0.36706983,0.452047606,0.00137472,-3.569005E-05,1331.369778,1335.663435,,927.2070483,889.5314502,,2037.396984,2048.79462
10/6/16,113.308249,841.659973,37276.77737,0.000684842,,0.252146907,0.676953446,0.451814093,-1.770914E-04,1985.817506,1990.387973,,0.352045002,0.511152256,0.001446582,-7.083657E-05,1504.980378,1509.447997,,0.372474718,0.451814093,0.001379692,-3.541828E-05,1329.758539,1334.051811,,927.2070483,889.5314502,,2019.748486,2038.409817
10/5/16,112.472544,844.359985,37251.2574,0.007957708,,0.283616618,0.675211525,0.451327374,-1.613023E-04,1976.045704,1980.620537,,0.364586406,0.510210988,0.001454687,-6.452093E-05,1500.163898,1504.630428,,0.381356055,0.451327374,0.001385706,-3.226046E-05,1326.809553,1331.101817,,927.2070483,889.5314502,,2077.848876,2081.981773
10/4/16,112.422796,834.030029,36955.99913,-0.000489523,,0.295383325,0.674470282,0.451014185,-1.622736E-04,1972.142808,1976.719337,,0.378376654,0.509697689,0.001487333,-6.490944E-05,1496.363527,1500.830071,,0.387509548,0.451014185,0.001398282,-3.245472E-05,1324.835962,1329.127611,,927.2070483,889.5314502,,2021.366127,2029.136728
10/3/16,111.945245,836.73999,36974.09437,-0.002154954,,0.341032357,0.671074619,0.449985016,-1.665493E-04,1955.557991,1960.141417,,0.390387426,0.508079706,0.001460524,-6.661972E-05,1489.686929,1494.150689,,0.396277293,0.449985016,0.001403756,-3.330986E-05,1320.320165,1324.608802,,927.2070483,889.5314502,,2096.081716,2130.624831
9/30/16,112.472544,837.309998,37053.85777,0.009109597,,0.330349829,0.671305177,0.449994226,-1.484747E-04,1957.895174,1962.477449,,0.395965534,0.5081858,0.001505867,-5.938988E-05,1489.049981,1493.51449,,0.397700849,0.449994226,0.001414841,-2.969494E-05,1320.101912,1324.390704,,927.2070483,889.5314502,,2021.583611,2032.790632
9/29/16,111.606985,829.049988,36717.84485,-0.005536038,,0.296946872,0.669111896,0.449335252,-1.594589E-04,1957.210612,1961.791525,,0.374153532,0.507176657,0.001438576,-6.378356E-05,1489.832353,1494.292505,,0.390206716,0.449335252,0.00139941,-3.189178E-05,1319.467184,1323.752919,,927.2070483,889.5314502,,2074.910939,2068.82646
9/28/16,113.36794,828.719971,36921.67993,0.012444043,,0.29763314,0.669066156,0.449118593,-1.347683E-04,1956.975663,1961.556672,,0.3880648,0.506926828,0.001487937,-5.390733E-05,1486.764767,1491.225546,,0.394169662,0.449118593,0.001407312,-2.695367E-05,1318.151486,1322.436761,,927.2070483,889.5314502,,2031.997721,2035.124906
9/27/16,112.512333,816.109985,36465.07187,0.013803303,,0.313381965,0.66871252,0.449008018,-1.073808E-04,1953.49186,1958.074563,,0.399028885,0.506840174,0.001506263,-4.295233E-05,1484.663369,1489.124909,,0.39701402,0.449008018,0.001410858,-2.147617E-05,1317.33835,1321.62346,,927.2070483,889.5314502,,2090.557078,2081.244523
9/26/16,112.303406,799.159973,35965.19137,-0.004551154,,0.380325979,0.667921161,0.448367233,-1.164109E-04,1940.622728,1945.212101,,0.415075393,0.505711591,0.001586314,-4.656436E-05,1478.70445,1483.164663,,0.40380455,0.448367233,0.001437905,-2.328218E-05,1314.295286,1318.578606,,927.2070483,889.5314502,,2082.926079,2087.859797
9/23/16,112.134277,805.75,36129.24752,-0.00553501,,0.339966268,0.666369938,0.447923388,-1.273931E-04,1942.814085,1947.400885,,0.401116931,0.504874866,0.001560153,-5.095722E-05,1478.656568,1483.113492,,0.395534541,0.447923388,0.001417736,-2.547861E-05,1314.422954,1318.703926,,927.2070483,889.5314502,,2063.470735,2070.088062
9/22/16,114.034524,804.700012,36329.77774,0.015190281,,0.365515883,0.665554435,0.44780846,-9.725361E-05,1936.487178,1941.076865,,0.406158198,0.504518684,0.001569378,-3.890145E-05,1476.779041,1481.235532,,0.396728325,0.44780846,0.001415476,-1.945072E-05,1313.881237,1318.161884,,927.2070483,889.5314502,,2051.997439,2068.842531
9/21/16,112.96999,789.73999,35782.08851,0.007409663,,0.35429757,0.665076533,0.447637638,-8.255190E-05,1936.968349,1941.557339,,0.40225396,0.504292915,0.001579293,-3.302076E-05,1476.789471,1481.245059,,0.392188581,0.447637638,0.001412442,-1.651038E-05,1314.16423,1318.443857,,927.2070483,889.5314502,,2024.97816,2035.62004
9/20/16,112.989884,780.219971,35517.93515,0.004010397,,0.347356955,0.665039247,0.447627288,-7.459476E-05,1937.97617,1942.564553,,0.398575559,0.504287503,0.001561494,-2.983791E-05,1477.395934,1481.851183,,0.391411104,0.447627288,0.001401458,-1.491895E-05,1314.267962,1318.547485,,927.2070483,889.5314502,,2075.720108,2067.134032
9/19/16,112.999835,775.099976,35375.77936,-0.007240634,,0.378357618,0.663818065,0.447255698,-8.896110E-05,1929.657054,1934.249068,,0.410324307,0.503624622,0.001601465,-3.558444E-05,1473.50059,1477.955231,,0.397581625,0.447255698,0.001429115,-1.779222E-05,1312.118018,1316.396682,,927.2070483,889.5314502,,2013.759229,2026.214122
9/16/16,114.332987,778.52002,35632.85199,0.004753875,,0.407184938,0.661730187,0.446602532,-7.952881E-05,1919.291329,1923.88729,,0.423268,0.502477542,0.001625478,-3.181152E-05,1468.00646,1472.459373,,0.404524406,0.446602532,0.001449455,-1.590576E-05,1309.010854,1313.287669,,927.2070483,889.5314502,,2098.501333,2080.798532
9/15/16,114.979668,769.690002,35463.85988,0.019885497,,0.420208459,0.66151557,0.446570591,-4.007346E-05,1916.611744,1921.209023,,0.422780241,0.502503052,0.001573013,-1.602938E-05,1468.162519,1472.615453,,0.405189692,0.446570591,0.001433043,-8.014692E-06,1308.802705,1313.079457,,927.2070483,889.5314502,,2027.548048,2070.685067
9/14/16,111.199076,761.090027,34765.60895,0.013380985,,0.42908643,0.661608593,0.446581435,-1.352389E-05,1915.444042,1920.042075,,0.423044306,0.502502244,0.001582683,-5.409554E-06,1468.115489,1472.568445,,0.406427135,0.446581435,0.001437539,-2.704777E-06,1308.621032,1312.897929,,927.2070483,889.5314502,,2041.419029,2057.965605
9/13/16,107.398588,761.01001,34303.50943,0.00025419,,0.426974559,0.661641637,0.44658967,-1.301954E-05,1915.87384,1920.471659,,0.424616808,0.502488052,0.001588519,-5.207816E-06,1467.808402,1472.261461,,0.408488924,0.44658967,0.001445836,-2.603908E-06,1308.28956,1312.566663,,927.2070483,889.5314502,,2046.123427,2071.297178
9/12/16,104.901415,771.48999,34294.79094,0.017528021,,0.426052082,0.661618723,0.446557883,2.175828E-05,1915.958671,1920.55642,,0.418973528,0.502452175,0.001538186,8.703311E-06,1468.660347,1473.112816,,0.406397683,0.446557883,0.001432078,4.351656E-06,1308.557218,1312.834025,,927.2070483,889.5314502,,2012.812939,2038.624542
9/9/16,102.603209,760.140015,33698.90871,-0.028016412,,0.435598936,0.661559054,0.446561595,-3.382984E-05,1914.262801,1918.861458,,0.417256294,0.502516218,0.001516594,-1.353194E-05,1469.135499,1473.587979,,0.406286151,0.446561595,0.001429482,-6.765968E-06,1308.58731,1312.864122,,927.2070483,889.5314502,,1986.422063,2008.5371
9/8/16,104.981001,784.059998,34656.38107,-0.010152602,,0.494807055,0.656422191,0.445032975,-5.397389E-05,1890.575663,1895.182627,,0.440483243,0.499796997,0.001574065,-2.158956E-05,1457.363795,1461.811406,,0.416639641,0.445032975,0.001453666,-1.079478E-05,1302.328489,1306.600432,,927.2070483,889.5314502,,2026.533948,2034.063334
