Date,ES,VaR
2016-12-01,1372.28964,1376.01489288
2016-11-30,1409.84228261,1399.99894817
2016-11-29,1297.05900198,1297.01429648
2016-11-28,1335.65638908,1344.80272584
2016-11-25,1327.28063265,1289.45026826
2016-11-23,1327.3745169,1337.83671081
2016-11-22,1351.33705343,1340.55087972
2016-11-21,1324.36438463,1303.77426813
2016-11-18,1280.69576469,1244.86292895
2016-11-17,1336.08723572,1337.8386524
2016-11-16,1341.07127704,1337.36466243
2016-11-15,1315.59306017,1327.29300419
2016-11-14,1353.6209413,1357.9604123
2016-11-11,1347.65526071,1358.54631929
2016-11-10,1369.10354537,1357.7547388
2016-11-09,1353.22066062,1344.37432344
2016-11-08,1341.12254642,1317.45528917
2016-11-07,1339.36639032,1317.76297529
2016-11-04,1286.43364585,1306.7211339
2016-11-03,1378.06617588,1379.14331185
2016-11-02,1372.75680724,1319.53373361
2016-11-01,1325.88211864,1364.37495996
2016-10-31,1333.00744253,1376.53970921
2016-10-28,1352.18156833,1344.30352385
2016-10-27,1364.54899783,1391.14100206
2016-10-26,1350.9668696,1358.03854532
2016-10-25,1300.85993315,1307.00801387
2016-10-24,1344.87526498,1340.43770594
2016-10-21,1295.18294221,1301.31930172
2016-10-20,1328.67625805,1299.71700767
2016-10-19,1361.99036633,1356.54482938
2016-10-18,1341.03836842,1300.66305721
2016-10-17,1330.17162103,1327.29428351
2016-10-14,1359.66158575,1332.43529272
2016-10-13,1334.3212892,1353.29313633
2016-10-12,1303.35753703,1283.88736022
2016-10-11,1329.77137051,1327.99463043
2016-10-10,1326.48154188,1356.47312203
2016-10-07,1317.56740198,1302.90723357
2016-10-06,1340.00536173,1357.17340043
2016-10-05,1341.94520979,1334.73177802
2016-10-04,1296.34936485,1302.71119057
2016-10-03,1290.81013715,1292.19724404
2016-09-30,1395.72215257,1414.56653583
2016-09-29,1356.18278045,1355.7121718
2016-09-28,1252.35607409,1259.65780354
2016-09-27,1350.55939228,1317.68002126
2016-09-26,1279.29277959,1273.15672884
2016-09-23,1261.2068825,1266.0123483
2016-09-22,1294.98268827,1239.66178963
2016-09-21,1327.5107003,1308.4682634
2016-09-20,1325.63180311,1331.20806501
2016-09-19,1293.87724563,1282.53447787
2016-09-16,1348.7354912,1376.84120379
2016-09-15,1266.19276639,1235.62552627
2016-09-14,1328.85389068,1321.13258693
2016-09-13,1235.9284668,1214.71284531
2016-09-12,1300.94390982,1272.22345558
2016-09-09,1261.07737192,1245.30264259
2016-09-08,1305.95426153,1295.42071983
2016-09-07,1278.0382573,1275.75085015
2016-09-06,1284.30564976,1222.84723901
2016-09-02,1261.83033558,1266.36920658
2016-09-01,1270.27381955,1238.29030608
2016-08-31,1251.84626283,1251.79903262
2016-08-30,1272.93037021,1255.14655134
2016-08-29,1276.33077996,1276.2539562
2016-08-26,1301.14670532,1302.15650662
2016-08-25,1287.20929782,1279.00704748
2016-08-24,1278.9268933,1279.3346446
2016-08-23,1284.44592698,1253.9651381
2016-08-22,1335.27921073,1333.502246
2016-08-19,1248.70479558,1294.00234479
2016-08-18,1307.28061984,1305.51039631
2016-08-17,1287.11448475,1269.36600474
2016-08-16,1251.89396005,1264.55657076
2016-08-15,1205.8697696,1206.40970648
2016-08-12,1276.44316048,1261.47742341
2016-08-11,1246.55413621,1247.70744334
2016-08-10,1186.00159605,1211.4508223
2016-08-09,1204.63106414,1204.79804227
2016-08-08,1287.51009147,1259.10267492
2016-08-05,1205.14991513,1200.05687825
2016-08-04,1198.40806103,1190.49780864
2016-08-03,1224.18500891,1236.4220737
2016-08-02,1270.92191373,1235.66983021
2016-08-01,1231.62834027,1234.59054591
2016-07-29,1245.38570282,1237.12449862
2016-07-28,1245.04731813,1251.07079232
2016-07-27,1230.51674652,1257.34921133
2016-07-26,1209.05127882,1226.41199589
2016-07-25,1217.87772375,1224.00005173
2016-07-22,1161.22087554,1126.27369911
2016-07-21,1164.50924677,1154.20730353
2016-07-20,1167.518896,1156.42838373
2016-07-19,1246.83342605,1241.67567647
