Date,ES,VaR
2016-12-01,1256.4052837,1252.23893513
2016-11-30,1256.24389125,1252.07723959
2016-11-29,1259.08851199,1254.92768381
2016-11-28,1259.89270855,1255.73469034
2016-11-25,1262.20099194,1258.04652576
2016-11-23,1259.11706307,1254.96156415
2016-11-22,1251.64863897,1247.49599346
2016-11-21,1251.55478474,1247.40214737
2016-11-18,1253.36677871,1249.21738183
2016-11-17,1250.26184907,1246.11267634
2016-11-16,1251.17541827,1247.02669306
2016-11-15,1252.96951163,1248.82975405
2016-11-14,1255.28459428,1251.1440191
2016-11-11,1254.4142382,1250.27781833
2016-11-10,1254.40202762,1250.26537786
2016-11-09,1250.40111941,1246.26262989
2016-11-08,1248.83329885,1244.69331681
2016-11-07,1249.9265283,1245.7863979
2016-11-04,1250.0666446,1245.926485
2016-11-03,1249.43742602,1245.29675949
2016-11-02,1250.05764605,1245.91768029
2016-11-01,1250.49124184,1246.35116973
2016-10-31,1249.93741446,1245.79625431
2016-10-28,1253.31559279,1249.17366278
2016-10-27,1252.29985339,1248.15651032
2016-10-26,1252.06711247,1247.92480922
2016-10-25,1254.17437694,1250.03808287
2016-10-24,1252.83664025,1248.69839072
2016-10-21,1249.83688897,1245.6952522
2016-10-20,1257.32027806,1253.17628132
2016-10-19,1255.09644503,1250.96118743
2016-10-18,1255.07678899,1250.94268069
2016-10-17,1269.26672805,1265.12053604
2016-10-14,1271.33848239,1267.19301461
2016-10-13,1271.69659809,1267.55155663
2016-10-12,1272.05065901,1267.90603678
2016-10-11,1272.59457165,1268.45037073
2016-10-10,1274.56586399,1270.42462198
2016-10-07,1274.98541807,1270.84529801
2016-10-06,1272.62317678,1268.48211139
2016-10-05,1274.50291082,1270.36597662
2016-10-04,1275.11430219,1270.97751488
2016-10-03,1276.08669247,1271.95028655
2016-09-30,1274.07238597,1269.93245877
2016-09-29,1276.47121812,1272.33818398
2016-09-28,1275.13411745,1271.00120808
2016-09-27,1276.90930988,1272.77778756
2016-09-26,1283.68454075,1279.5555921
2016-09-23,1286.19994712,1282.0737332
2016-09-22,1282.87240936,1278.74623046
2016-09-21,1285.27923671,1281.15282361
2016-09-20,1278.08775853,1273.96588451
2016-09-19,1281.35271586,1277.23130231
2016-09-16,1283.88172616,1279.76634378
2016-09-15,1283.88621808,1279.77085596
2016-09-14,1278.06278138,1273.94701691
2016-09-13,1278.87489563,1274.76008677
2016-09-12,1274.59673012,1270.48298251
2016-09-09,1276.75905762,1272.6455024
2016-09-08,1277.98940717,1273.87596761
2016-09-07,1274.93286874,1270.81750014
2016-09-06,1280.17639754,1276.06007936
2016-09-02,1280.5357081,1276.41989505
2016-09-01,1275.63655216,1271.53903524
2016-08-31,1274.95246186,1270.85445108
2016-08-30,1272.57972976,1268.49598335
2016-08-29,1267.63816117,1263.55625247
2016-08-26,1263.64155009,1259.55702756
2016-08-25,1262.27289484,1258.18800028
2016-08-24,1261.94600508,1257.87110357
2016-08-23,1260.05207326,1255.97709391
2016-08-22,1262.11120379,1258.03763993
2016-08-19,1262.31822689,1258.24598681
2016-08-18,1264.23788747,1260.16875362
2016-08-17,1264.08734001,1260.0182947
2016-08-16,1257.78443241,1253.71953081
2016-08-15,1256.32861186,1252.26435038
2016-08-12,1258.27868672,1254.21650835
2016-08-11,1254.24452411,1250.2058626
2016-08-10,1252.15811928,1248.11747247
2016-08-09,1249.04808228,1245.00584701
2016-08-08,1253.33041823,1249.28752331
2016-08-05,1258.92544868,1254.89234655
2016-08-04,1252.00132261,1247.96820148
2016-08-03,1254.58767322,1250.5568347
2016-08-02,1250.02231429,1245.992653
2016-08-01,1255.17423254,1251.14349649
2016-07-29,1253.28759569,1249.25714953
2016-07-28,1252.8672117,1248.83704001
2016-07-27,1250.71874467,1246.69680667
2016-07-26,1253.07338812,1249.05222147
2016-07-25,1203.39060199,1199.42805643
2016-07-22,1208.56332854,1204.60365994
2016-07-21,1206.3725866,1202.41277171
2016-07-20,1205.31669707,1201.35780596
2016-07-19,1201.44744997,1197.48744332
2016-07-18,1201.74183541,1197.78585798
2016-07-15,1200.87958128,1196.91917111
2016-07-14,1200.29525674,1196.33496681
2016-07-13,1193.81454123,1189.85703037
2016-07-12,1195.7253651,1191.76780172
2016-07-11,1195.58199744,1191.62443125
2016-07-08,1183.38805427,1179.43626002
2016-07-07,1124.15634735,1120.28026178
2016-07-06,1126.12599467,1122.25625007
2016-07-05,1125.45029258,1121.57980804
2016-07-01,1125.63257461,1121.76447053
2016-06-30,1125.27994876,1121.40812158
2016-06-29,1122.1421681,1118.26841573
2016-06-28,1124.73236673,1120.86065267
2016-06-27,1124.45343992,1120.58046264
2016-06-24,1124.98577372,1121.11684432
2016-06-23,1126.8098692,1122.94226443
2016-06-22,1118.15950657,1114.30151578
2016-06-21,1113.40845877,1109.54469072
2016-06-20,1106.18224088,1102.32382485
2016-06-17,1093.87004011,1090.02267936
2016-06-16,1095.31714983,1091.47264371
2016-06-15,1095.47746704,1091.63068595
2016-06-14,1091.0398598,1087.19110483
2016-06-13,1094.86448468,1091.01625485
2016-06-10,1094.90861586,1091.0604157
2016-06-09,1098.85942362,1095.01265554
2016-06-08,1098.70486708,1094.85608857
2016-06-07,1097.5901651,1093.74170234
2016-06-06,1098.88878031,1095.05053257
2016-06-03,1098.14512846,1094.30640608
2016-06-02,1094.97102646,1091.13366429
2016-06-01,1091.87078967,1088.03574081
2016-05-31,1094.57559373,1090.73862223
2016-05-27,1113.69021084,1109.83152905
2016-05-26,1112.60613987,1108.7484403
2016-05-25,1137.68276972,1133.78918801
2016-05-24,1136.65471744,1132.76071339
2016-05-23,1135.46382197,1131.5706397
2016-05-20,1135.47374708,1131.58080421
2016-05-19,1148.2917899,1144.38757218
2016-05-18,1146.8950843,1142.99046074
2016-05-17,1150.5789454,1146.67348567
2016-05-16,1151.18472922,1147.27936894
2016-05-13,1155.85214329,1151.9437315
2016-05-12,1156.57498178,1152.65944058
2016-05-11,1160.19862058,1156.28360834
2016-05-10,1158.04175484,1154.12223582
2016-05-09,1162.16129295,1158.23793945
2016-05-06,1162.89210069,1158.97157066
2016-05-05,1166.35606083,1162.433635
2016-05-04,1166.53345057,1162.61226218
2016-05-03,1171.52905655,1167.61778296
2016-05-02,1171.68335229,1167.77407802
2016-04-29,1174.34441007,1170.43468359
2016-04-28,1179.99111805,1176.07926633
2016-04-27,1178.86047458,1174.94858264
2016-04-26,1178.36513057,1174.45278343
2016-04-25,1173.89738349,1169.98113195
2016-04-22,1170.02219351,1166.10927412
2016-04-21,1165.88066873,1161.96962236
2016-04-20,1171.66249743,1167.76000095
2016-04-19,1320.27217998,1316.16858081
2016-04-18,1334.60562893,1330.49214988
2016-04-15,1331.90128009,1327.77993913
2016-04-14,1334.78195867,1330.66027252
2016-04-13,1334.55734078,1330.43532012
2016-04-12,1334.68757132,1330.56555099
2016-04-11,1334.50075454,1330.3773528
2016-04-08,1336.98484404,1332.86380771
2016-04-07,1335.66868748,1331.54631579
2016-04-06,1333.64369296,1329.53242441
2016-04-05,1333.6325374,1329.5211947
2016-04-04,1328.56027375,1324.44684532
2016-04-01,1328.61509998,1324.50210968
2016-03-31,1329.08366339,1324.96568723
2016-03-30,1332.42198649,1328.30365903
2016-03-29,1333.61221859,1329.49438882
2016-03-28,1333.66476104,1329.54729275
2016-03-24,1341.16632505,1337.05050901
2016-03-23,1347.21861546,1343.10406364
2016-03-22,1348.5785508,1344.46312482
2016-03-21,1347.71776332,1343.5980799
2016-03-18,1338.61198476,1334.49591877
2016-03-17,1338.34844317,1334.22908652
2016-03-16,1337.64475288,1333.53476659
2016-03-15,1343.3370008,1339.22604323
2016-03-14,1339.59350955,1335.48116241
2016-03-11,1338.80568278,1334.69224843
2016-03-10,1341.1281354,1337.01665981
2016-03-09,1343.12068536,1339.00842683
2016-03-08,1344.15438484,1340.04212059
2016-03-07,1345.63254433,1341.52043779
2016-03-04,1346.872966,1342.76060957
2016-03-03,1343.74527886,1339.63111751
2016-03-02,1344.29467137,1340.18044408
2016-03-01,1346.45883314,1342.34546402
2016-02-29,1347.27998246,1343.17110788
2016-02-26,1335.19921571,1331.0951495
2016-02-25,1334.77847433,1330.67307728
2016-02-24,1338.67075065,1334.56470595
2016-02-23,1331.97886479,1327.87450236
2016-02-22,1333.98089142,1329.87519716
2016-02-19,1340.77304572,1336.67017809
2016-02-18,1341.08493305,1336.98374133
2016-02-17,1339.72939288,1335.62723254
2016-02-16,1339.68445567,1335.58191965
2016-02-12,1338.59399152,1334.49183813
2016-02-11,1341.05896031,1336.95824098
2016-02-10,1340.89388819,1336.78735205
2016-02-09,1343.85959618,1339.75193921
2016-02-08,1340.87551872,1336.76722125
2016-02-05,1342.51703728,1338.40970742
2016-02-04,1343.48582513,1339.38131629
2016-02-03,1346.31984604,1342.21375825
2016-02-02,1342.60742492,1338.50361661
2016-02-01,1346.71330639,1342.6096631
2016-01-29,1346.49195473,1342.38820376
2016-01-28,1345.84963602,1341.74171922
2016-01-27,1344.99911789,1340.8906947
2016-01-26,1347.92416948,1343.81498368
2016-01-25,1350.56231625,1346.45460435
2016-01-22,1351.56233367,1347.44955758
2016-01-21,1350.58924688,1346.48498429
2016-01-20,1351.50548723,1347.40307302
2016-01-19,1350.0557839,1345.95373823
2016-01-15,1386.05921119,1381.88306247
2016-01-14,1385.32771618,1381.151146
2016-01-13,1387.53930128,1383.36247433
2016-01-12,1384.39884048,1380.22230946
2016-01-11,1387.2667808,1383.06924998
2016-01-08,1385.41377917,1381.21610678
2016-01-07,1386.56847832,1382.37131312
2016-01-06,1387.72775561,1383.53109807
2016-01-05,1383.43572054,1379.22830555
2016-01-04,1387.25924221,1383.05588268
2015-12-31,1387.0750321,1382.87166192
2015-12-30,1382.98240596,1378.77687475
2015-12-29,1379.84539007,1375.63473744
2015-12-28,1383.0364922,1378.82455782
2015-12-24,1382.93874417,1378.72952473
2015-12-23,1382.29135055,1378.09576422
2015-12-22,1387.95517598,1383.75898115
2015-12-21,1391.14095864,1386.94585132
2015-12-18,1389.49824584,1385.30102484
2015-12-17,1389.23002638,1385.03179515
2015-12-16,1367.64709397,1363.46252681
2015-12-15,1367.57292959,1363.39437356
2015-12-14,1366.67958523,1362.48965806
2015-12-11,1366.6891711,1362.49924227
2015-12-10,1367.34951022,1363.16024963
2015-12-09,1368.87932603,1364.69055952
2015-12-08,1370.52390368,1366.33529586
2015-12-07,1370.00302544,1365.8134644
2015-12-04,1369.03919797,1364.84941244
2015-12-03,1369.75279231,1365.56305822
2015-12-02,1374.19896319,1370.01053765
2015-12-01,1371.96115875,1367.77320316
2015-11-30,1371.96115875,1367.77320316
2015-11-27,1370.42423988,1366.23555436
2015-11-25,1368.03906497,1363.85091756
2015-11-24,1367.52814148,1363.33813826
2015-11-23,1367.52814148,1363.33813826
2015-11-20,1368.49976222,1364.30987396
2015-11-19,1380.01547187,1375.82046577
2015-11-18,1391.78067799,1387.58218682
2015-11-17,1391.43800348,1387.2334815
2015-11-16,1392.7505712,1388.54628065
2015-11-13,1392.77851922,1388.57470186
2015-11-12,1391.86555334,1387.66190447
2015-11-11,1390.57559912,1386.37147256
2015-11-10,1396.35432027,1392.15164522
2015-11-09,1402.15498945,1397.9523241
2015-11-06,1401.34172518,1397.14509873
2015-11-05,1404.90102791,1400.70418203
2015-11-04,1405.45693099,1401.25717543
2015-11-03,1403.84248323,1399.64045105
2015-11-02,1406.0546974,1401.86163687
2015-10-30,1404.74151477,1400.54209886
2015-10-29,1404.72195194,1400.52253997
2015-10-28,1404.6902369,1400.49056207
2015-10-27,1405.89871727,1401.69265039
2015-10-26,1408.88939926,1404.67292924
2015-10-23,1412.77291013,1408.55592559
2015-10-22,1411.69944458,1407.48149454
2015-10-21,1411.57193538,1407.35799229
2015-10-20,1418.77965246,1414.56194699
2015-10-19,1424.23167845,1420.01171163
2015-10-16,1424.90340403,1420.68677344
