Date,AAPL
2016-12-01,109.489998
2016-11-30,110.519997
2016-11-29,111.459999
2016-11-28,111.57
2016-11-25,111.790001
2016-11-23,111.230003
2016-11-22,111.800003
2016-11-21,111.730003
2016-11-18,110.059998
2016-11-17,109.949997
2016-11-16,109.989998
2016-11-15,107.110001
2016-11-14,105.709999
2016-11-11,108.43
2016-11-10,107.790001
2016-11-09,110.879997
2016-11-08,111.059998
2016-11-07,110.410004
2016-11-04,108.839996
2016-11-03,109.830002
2016-11-02,111.019995
2016-11-01,110.920507
2016-10-31,112.960039
2016-10-28,113.13912
2016-10-27,113.89524
2016-10-26,114.999563
2016-10-25,117.645979
2016-10-24,117.049045
2016-10-21,116.004406
2016-10-20,116.462055
2016-10-19,116.521754
2016-10-18,116.869965
2016-10-17,116.949558
2016-10-14,117.029143
2016-10-13,116.38247
2016-10-12,116.740624
2016-10-11,115.705943
2016-10-10,115.45722
2016-10-07,113.477379
2016-10-06,113.308249
2016-10-05,112.472544
2016-10-04,112.422796
2016-10-03,111.945245
2016-09-30,112.472544
2016-09-29,111.606985
2016-09-28,113.36794
2016-09-27,112.512333
2016-09-26,112.303406
2016-09-23,112.134277
2016-09-22,114.034524
2016-09-21,112.96999
2016-09-20,112.989884
2016-09-19,112.999835
2016-09-16,114.332987
2016-09-15,114.979668
2016-09-14,111.199076
2016-09-13,107.398588
2016-09-12,104.901415
2016-09-09,102.603209
2016-09-08,104.981001
2016-09-07,107.806498
2016-09-06,107.149865
2016-09-02,107.179719
2016-09-01,106.184827
2016-08-31,105.55804
2016-08-30,105.458552
2016-08-29,106.274363
2016-08-26,106.393753
2016-08-25,107.020532
2016-08-24,107.478182
2016-08-23,108.293993
2016-08-22,107.955733
2016-08-19,108.80139
2016-08-18,108.522821
2016-08-17,108.662106
2016-08-16,108.821284
2016-08-15,108.92078
2016-08-12,107.627417
2016-08-11,107.378694
2016-08-10,107.448336
2016-08-09,108.254196
2016-08-08,107.816449
2016-08-05,106.930996
2016-08-04,105.329219
2016-08-03,104.68254
2016-08-02,103.386256
2016-08-01,104.93982
2016-07-29,103.119078
2016-07-28,103.247715
2016-07-27,101.872267
2016-07-26,95.65801
2016-07-25,96.320994
2016-07-22,97.627183
2016-07-21,98.389119
2016-07-20,98.91357
2016-07-19,98.824515
2016-07-18,98.784933
2016-07-15,97.745922
2016-07-14,97.755819
2016-07-13,95.855921
2016-07-12,96.400159
2016-07-11,95.96477
2016-07-08,95.667907
2016-07-07,94.935656
2016-07-06,94.529945
2016-07-05,93.995597
2016-07-01,94.886177
2016-06-30,94.599212
2016-06-29,93.411777
2016-06-28,92.610251
2016-06-27,91.076482
2016-06-24,92.422245
2016-06-23,95.093977
2016-06-22,94.549739
2016-06-21,94.905971
2016-06-20,94.104446
2016-06-17,94.332041
2016-06-16,96.528803
2016-06-15,96.123091
2016-06-14,96.439741
2016-06-13,96.320994
2016-06-10,97.795402
2016-06-09,98.606817
2016-06-08,97.904251
2016-06-07,97.993305
2016-06-06,97.597491
2016-06-03,96.894924
2016-06-02,96.697021
2016-06-01,97.429272
2016-05-31,98.814618
2016-05-27,99.299486
2016-05-26,99.358863
2016-05-25,98.577132
2016-05-24,96.875137
2016-05-23,95.420524
2016-05-20,94.223192
2016-05-19,93.213866
2016-05-18,93.570098
2016-05-17,92.511299
2016-05-16,92.897216
2016-05-13,89.57239
2016-05-12,89.394274
2016-05-11,91.541563
2016-05-10,92.442033
2016-05-09,91.81863
2016-05-06,91.749363
2016-05-05,92.263917
2016-05-04,92.639944
2016-05-03,93.613649
2016-05-02,92.098992
2016-04-29,92.197345
2016-04-28,93.269411
2016-04-27,96.210203
2016-04-26,102.632739
2016-04-25,103.350729
2016-04-22,103.940854
2016-04-21,104.226082
2016-04-20,105.366989
2016-04-19,105.150615
2016-04-18,105.711235
2016-04-15,108.042227
2016-04-14,110.2552
2016-04-13,110.19619
2016-04-12,108.622522
2016-04-11,107.225885
2016-04-08,106.871816
2016-04-07,106.753788
2016-04-06,109.133961
2016-04-05,108.002885
2016-04-04,109.291332
2016-04-01,108.179923
2016-03-31,107.19638
2016-03-30,107.756999
2016-03-29,105.90794
2016-03-28,103.45892
2016-03-24,103.931016
2016-03-23,104.383445
2016-03-22,104.96374
2016-03-21,104.167072
2016-03-18,104.176902
2016-03-17,104.058882
2016-03-16,104.226082
2016-03-15,102.858958
2016-03-14,100.832853
2016-03-11,100.577138
2016-03-10,99.505072
2016-03-09,99.455899
2016-03-08,99.367376
2016-03-07,100.193556
2016-03-04,101.314795
2016-03-03,99.829643
2016-03-02,99.091985
2016-03-01,98.875604
2016-02-29,95.098802
2016-02-26,95.315183
2016-02-25,95.16765
2016-02-24,94.518507
2016-02-23,93.131715
2016-02-22,95.28567
2016-02-19,94.459497
2016-02-18,94.675878
2016-02-17,96.505269
2016-02-16,95.049622
2016-02-12,92.44323
2016-02-11,92.158002
2016-02-10,92.718621
2016-02-09,93.426774
2016-02-08,93.446449
2016-02-05,92.472736
2016-02-04,95.010279
2016-02-03,94.252947
2016-02-02,92.423652
2016-02-01,94.331208
2016-01-29,95.221398
2016-01-28,92.042134
2016-01-27,91.386718
2016-01-26,97.813722
2016-01-25,97.275697
2016-01-22,99.212599
2016-01-21,94.20404
2016-01-20,94.683373
2016-01-19,94.556205
2016-01-15,95.015969
2016-01-14,97.35395
2016-01-13,95.270312
2016-01-12,97.784376
2016-01-11,96.3855
2016-01-08,94.849671
2016-01-07,94.350769
2016-01-06,98.508268
2016-01-05,100.474523
2016-01-04,103.057063
2015-12-31,102.969025
2015-12-30,104.984187
2015-12-29,106.373279
2015-12-28,104.495069
2015-12-24,105.678733
2015-12-23,106.246111
2015-12-22,104.896149
2015-12-21,104.993971
2015-12-18,103.722263
2015-12-17,106.608061
2015-12-16,108.916689
2015-12-15,108.08519
2015-12-14,110.031884
2015-12-11,110.716645
2015-12-10,113.641566
2015-12-09,113.103541
2015-12-08,115.656735
2015-12-07,115.705642
2015-12-04,116.439319
2015-12-03,112.692677
2015-12-02,113.749172
2015-12-01,114.786099
2015-11-30,115.725211
2015-11-27,115.245871
2015-11-25,115.461084
2015-11-24,116.292582
2015-11-23,115.187179
2015-11-20,116.703446
2015-11-19,116.19476
2015-11-18,114.737192
2015-11-17,111.215547
2015-11-16,111.69488
2015-11-13,109.894924
2015-11-12,113.201363
2015-11-11,113.582874
2015-11-10,114.228505
2015-11-09,117.945802
2015-11-06,118.425135
2015-11-05,118.288182
2015-11-04,118.835996
2015-11-03,119.391213
2015-11-02,118.037263
2015-10-30,116.400832
2015-10-29,117.404119
2015-10-28,116.176794
2015-10-27,111.579211
2015-10-26,112.290275
2015-10-23,115.991727
2015-10-22,112.50457
2015-10-21,110.809698
2015-10-20,110.819433
2015-10-19,108.832346
2015-10-16,108.160239
